GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Templates,org.klojang.templates.name,SnakeCaseToWordCase,66,0,6,0,14,0,6,0,3,0
Klojang Templates,org.klojang.templates.name,SnakeCaseToCamelCase,4,78,0,6,1,15,1,5,1,2
Klojang Templates,org.klojang.templates.name,WordCaseToSnakeLowerCase,13,0,0,0,3,0,3,0,3,0
Klojang Templates,org.klojang.templates.name,CamelCaseToWordCase,22,0,0,0,4,0,3,0,3,0
Klojang Templates,org.klojang.templates.name,CamelCaseToSnakeLowerCase,18,109,3,9,2,16,4,5,1,2
Klojang Templates,org.klojang.templates.name,WordCaseToCameCase,22,0,0,0,4,0,3,0,3,0
Klojang Templates,org.klojang.templates.name,WordCaseToSnakeUpperCase,13,0,0,0,3,0,3,0,3,0
Klojang Templates,org.klojang.templates.name,CamelCaseToSnakeUpperCase,118,0,10,0,18,0,8,0,3,0
Klojang Templates,org.klojang.templates,RenderException,321,0,2,0,50,0,26,0,25,0
Klojang Templates,org.klojang.templates,SessionConfig,63,0,0,0,18,0,10,0,10,0
Klojang Templates,org.klojang.templates,ParseException,4,0,0,0,2,0,1,0,1,0
Klojang Templates,org.klojang.templates,OptionalAccessor,27,0,2,0,8,0,3,0,2,0
Klojang Templates,org.klojang.templates,Stringifier,10,0,2,0,3,0,3,0,2,0
Klojang Templates,org.klojang.templates,PathResolutionException,19,0,0,0,2,0,1,0,1,0
Klojang Templates,org.klojang.templates,VarGroup,27,43,0,0,3,13,2,4,2,4
Klojang Templates,org.klojang.templates,PathResolver,2,0,0,0,1,0,1,0,1,0
Klojang Templates,org.klojang.templates,StringifierRegistry.Builder,506,0,24,0,80,0,30,0,18,0
Klojang Templates,org.klojang.templates,AccessorRegistry.Builder,112,0,0,0,20,0,11,0,11,0
Klojang Templates,org.klojang.templates,NameMapper,5,0,0,0,1,0,2,0,2,0
Klojang Templates,org.klojang.templates,Setting,24,97,1,1,4,16,4,5,3,5
Klojang Templates,org.klojang.templates,Accessor,5,0,0,0,1,0,1,0,1,0
Klojang Templates,org.klojang.templates,PartsPrinter,329,0,18,0,72,0,18,0,9,0
Klojang Templates,org.klojang.templates,TemplateUtils,466,0,42,0,100,0,38,0,17,0
Klojang Templates,org.klojang.templates,AccessorRegistry,115,0,16,0,28,0,13,0,5,0
Klojang Templates,org.klojang.templates,StringifierId,88,0,12,0,20,0,12,0,6,0
Klojang Templates,org.klojang.templates,RenderState,310,0,23,0,78,0,40,0,28,0
Klojang Templates,org.klojang.templates,StringifierRegistry,220,0,32,0,51,0,21,0,5,0
Klojang Templates,org.klojang.templates,KlojangException,13,0,0,0,6,0,3,0,3,0
Klojang Templates,org.klojang.templates,KlojangRTException,20,0,2,0,6,0,4,0,3,0
Klojang Templates,org.klojang.templates,Renderer,317,0,32,0,60,0,26,0,10,0
Klojang Templates,org.klojang.templates,RenderSession,1269,0,74,0,221,0,85,0,48,0
Klojang Templates,org.klojang.templates,BadStringifierException,36,0,0,0,6,0,3,0,3,0
Klojang Templates,org.klojang.templates,Template,391,170,27,13,72,34,44,17,30,11
